id,category,subcategory,name,address,borough,zip,license_id,license_status,lat,lon,source,source_url
ocm:OCM-CAURD-24-000209,cannabis,Adult-Use Conditional Retail Dispensary License,Nucleus Dispensary Inc.,"1819 2nd Ave, New York, NY, 10128",Manhattan,10128,OCM-CAURD-24-000209,Active,40.783223,-73.948184,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-24-000183,cannabis,Adult-Use Conditional Retail Dispensary License,NugHub NY LLC,"1350 Forest Ave, Staten Island, NY, 10302",Staten Island,10302,OCM-CAURD-24-000183,Active,40.625723,-74.134454,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-26-000481,cannabis,Adult-Use Retail Dispensary License,CannaBees,"6401 Grand Ave, Maspeth, NY, 11378",Queens,11378,OCM-RETL-26-000481,Active,40.723099,-73.901493,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-24-000162,cannabis,Adult-Use Conditional Retail Dispensary License,Society House,"2441 Flatbush Ave, Brooklyn, NY, 11234",Brooklyn,11234,OCM-CAURD-24-000162,Active,40.611254,-73.923662,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-24-000215,cannabis,Adult-Use Retail Dispensary License,NYC Green Girl LLC,"58-60 Ninth Avenue, New York, NY, 10011",Manhattan,10011,OCM-RETL-24-000215,Active,40.741254,-74.004736,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-24-000153,cannabis,Adult-Use Conditional Retail Dispensary License,NY ELITE CANNABIS,"4215 Bell Blvd, Bayside, NY, 11361",Queens,11361,OCM-CAURD-24-000153,Active,40.76234,-73.769983,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-26-000336,cannabis,Adult-Use Conditional Retail Dispensary License,Emerald Dispensary Carroll Gardens,"548 Court St, Brooklyn, NY, 11231",Brooklyn,11231,OCM-CAURD-26-000336,Active,40.675121,-73.999619,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-24-000154,cannabis,Adult-Use Retail Dispensary License,NY Retail 2 Inc.,"372 E Fordham Rd, Bronx, NY, 10458",Bronx,10458,OCM-RETL-24-000154,Active,40.861552,-73.892523,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-24-000260,cannabis,Adult-Use Retail Dispensary License,NY Retail 5 Inc.,"519 Madison Ave, New York, NY, 10022",Manhattan,10022,OCM-RETL-24-000260,Active,40.759874,-73.973782,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-24-000175,cannabis,Adult-Use Conditional Retail Dispensary License,LINDEN TREE,"2552 Linden Blvd, Brooklyn, NY, 11208",Brooklyn,11208,OCM-CAURD-24-000175,Active,40.667474,-73.870114,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-24-000062,cannabis,Adult-Use Conditional Retail Dispensary License,Silk Road NYC,"16630 Jamaica Ave, Jamaica, NY, 11432",Queens,11432,OCM-CAURD-24-000062,Active,40.705976,-73.792873,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-24-000011,cannabis,Adult-Use Retail Dispensary License,OET INC.,"733 Flatbush Ave, Brooklyn, NY, 11226",Brooklyn,11226,OCM-RETL-24-000011,Active,40.655143,-73.959433,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-25-000267,cannabis,Adult-Use Conditional Retail Dispensary License,OTEC,"1155 Liberty Ave, Brooklyn, NY, 11208",Brooklyn,11208,OCM-CAURD-25-000267,Active,40.67897,-73.866754,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-25-000324,cannabis,Adult-Use Retail Dispensary License,ONE STOP DELI & CANDY STORE INC,"9 Newkirk Plz, Brooklyn, NY, 11226",Brooklyn,11226,OCM-RETL-25-000324,Active,40.63526,-73.962591,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-26-000352,cannabis,Adult-Use Conditional Retail Dispensary License,One Way NYC LLC,"43-15 Ditmars Blvd, Astoria, NY, 11105",Queens,11105,OCM-CAURD-26-000352,Active,40.771129,-73.903188,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-24-000121,cannabis,Adult-Use Conditional Retail Dispensary License,G Spot NYC,"977 2nd Ave, New York, NY, 10022",Manhattan,10022,OCM-CAURD-24-000121,Active,40.756059,-73.968021,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-26-000330,cannabis,Adult-Use Conditional Retail Dispensary License,Hii,"9206 3rd Ave, Brooklyn, NY, 11209",Brooklyn,11209,OCM-CAURD-26-000330,Active,40.619196,-74.033141,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-MICR-24-000204,cannabis,Adult-Use Microbusiness License,PACHA PRODUCTS NY LLC,"44 Wyckoff Ave #1RF, Brooklyn, NY, 11237",Brooklyn,11237,OCM-MICR-24-000204,Active,40.70573,-73.921888,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-24-000034,cannabis,Adult-Use Retail Dispensary License,PACIFIC PALMS GROUP LLC,"345 Greenwich St, New York, NY, 10013",Manhattan,10013,OCM-RETL-24-000034,Active,40.718412,-74.010127,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-25-000346,cannabis,Adult-Use Retail Dispensary License,Paradise Cannabis LLC,"1557 Fulton St, Brooklyn, NY, 11216",Brooklyn,11216,OCM-RETL-25-000346,Active,40.680032,-73.93902,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-26-000471,cannabis,Adult-Use Retail Dispensary License,PINK CLOUDZ CORP,"858 Fulton St, Brooklyn, NY, 11238",Brooklyn,11238,OCM-RETL-26-000471,Active,40.683315,-73.967075,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-24-000151,cannabis,Adult-Use Conditional Retail Dispensary License,Nicklz,"797 8th Ave, New York, NY, 10019",Manhattan,10019,OCM-CAURD-24-000151,Active,40.761382,-73.987132,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-24-000077,cannabis,Adult-Use Conditional Retail Dispensary License,Polanco Brothers Corp,"12 E 42nd St, New York, NY, 10017",Manhattan,10017,OCM-CAURD-24-000077,Active,40.752994,-73.980771,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-24-000175,cannabis,Adult-Use Retail Dispensary License,Canna Blooms,"16220 Northern Blvd, Flushing, NY, 11358",Queens,11358,OCM-RETL-24-000175,Active,40.7614,-73.803286,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-25-000430,cannabis,Adult-Use Retail Dispensary License,PRIME TIME CANNABIS,"856 KNICKERBOCKER AVENUE, Brooklyn, NY, 11207",Brooklyn,11207,OCM-RETL-25-000430,Active,40.69146,-73.9059,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
